# CLASS transfer function for vanilla LCDM with 3 massless neutrinos
# omega_b = 0.022383, omega_cdm = 0.12011, h = 0.6732, ln10^{10}A_s = 3.0448, n_s = 0.96605
# (cosmo parameters taken from first column in Table 1 of arxiv:1807.06209)
# 1:k (h/Mpc)   2:T(k)
7.87587e-04        9.92751e-01
7.91832e-04        9.92689e-01
7.96099e-04        9.92626e-01
8.00389e-04        9.92563e-01
8.04702e-04        9.92499e-01
8.09039e-04        9.92434e-01
8.13399e-04        9.92369e-01
8.17782e-04        9.92303e-01
8.22189e-04        9.92237e-01
8.26620e-04        9.92171e-01
8.31074e-04        9.92103e-01
8.35553e-04        9.92036e-01
8.40056e-04        9.91967e-01
8.44583e-04        9.91898e-01
8.49134e-04        9.91829e-01
8.53710e-04        9.91759e-01
8.58311e-04        9.91688e-01
8.62936e-04        9.91617e-01
8.67586e-04        9.91545e-01
8.72262e-04        9.91473e-01
8.76962e-04        9.91400e-01
8.81688e-04        9.91326e-01
8.86440e-04        9.91252e-01
8.91217e-04        9.91177e-01
8.96019e-04        9.91101e-01
9.00848e-04        9.91025e-01
9.05703e-04        9.90949e-01
9.10583e-04        9.90871e-01
9.15491e-04        9.90793e-01
9.20424e-04        9.90715e-01
9.25384e-04        9.90636e-01
9.30371e-04        9.90556e-01
9.35385e-04        9.90475e-01
9.40426e-04        9.90394e-01
9.45494e-04        9.90312e-01
9.50589e-04        9.90230e-01
9.55711e-04        9.90147e-01
9.60862e-04        9.90063e-01
9.66040e-04        9.89979e-01
9.71246e-04        9.89893e-01
9.76480e-04        9.89808e-01
9.81742e-04        9.89721e-01
9.87032e-04        9.89634e-01
9.92352e-04        9.89546e-01
9.97699e-04        9.89457e-01
1.00308e-03        9.89368e-01
1.00848e-03        9.89278e-01
1.01392e-03        9.89187e-01
1.01938e-03        9.89096e-01
1.02487e-03        9.89004e-01
1.03040e-03        9.88911e-01
1.03595e-03        9.88817e-01
1.04153e-03        9.88723e-01
1.04714e-03        9.88628e-01
1.05279e-03        9.88532e-01
1.05846e-03        9.88435e-01
1.06417e-03        9.88338e-01
1.06990e-03        9.88240e-01
1.07567e-03        9.88141e-01
1.08146e-03        9.88041e-01
1.08729e-03        9.87941e-01
1.09315e-03        9.87839e-01
1.09904e-03        9.87737e-01
1.10496e-03        9.87635e-01
1.11092e-03        9.87531e-01
1.11690e-03        9.87427e-01
1.12292e-03        9.87321e-01
1.12897e-03        9.87215e-01
1.13506e-03        9.87108e-01
1.14118e-03        9.87001e-01
1.14733e-03        9.86892e-01
1.15351e-03        9.86783e-01
1.15972e-03        9.86673e-01
1.16597e-03        9.86562e-01
1.17226e-03        9.86450e-01
1.17857e-03        9.86337e-01
1.18493e-03        9.86223e-01
1.19131e-03        9.86109e-01
1.19773e-03        9.85993e-01
1.20419e-03        9.85877e-01
1.21068e-03        9.85760e-01
1.21720e-03        9.85642e-01
1.22376e-03        9.85523e-01
1.23035e-03        9.85403e-01
1.23698e-03        9.85282e-01
1.24365e-03        9.85161e-01
1.25035e-03        9.85038e-01
1.25709e-03        9.84914e-01
1.26386e-03        9.84790e-01
1.27068e-03        9.84664e-01
1.27752e-03        9.84538e-01
1.28441e-03        9.84411e-01
1.29133e-03        9.84282e-01
1.29829e-03        9.84153e-01
1.30528e-03        9.84023e-01
1.31232e-03        9.83892e-01
1.31939e-03        9.83760e-01
1.32650e-03        9.83626e-01
1.33365e-03        9.83492e-01
1.34084e-03        9.83357e-01
1.34806e-03        9.83221e-01
1.35533e-03        9.83084e-01
1.36263e-03        9.82945e-01
1.36997e-03        9.82806e-01
1.37736e-03        9.82666e-01
1.38478e-03        9.82524e-01
